session_test_id,id,age,gender,HAtiempo,HAuser,HAsatisfaction,Difficulty,Realism,feedback,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant30,StrongCausal,100,37818,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant30,StrongNon,100,37818,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant30,MildNon,100,37818,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant30,Enabled,100,37818,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party30,reference,100,33254,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party30,StrongNon,100,33254,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party30,Enabled,100,33254,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party30,MildNon,100,33254,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party30,MildCausal,100,33254,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party30,StrongCausal,100,33254,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office0,StrongCausal,100,28542,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office0,reference,100,28542,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office0,Enabled,100,28542,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office0,MildCausal,100,28542,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office0,StrongNon,100,28542,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office0,MildNon,100,28542,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party0,StrongNon,73,22280,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party0,reference,63,22280,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party0,MildCausal,30,22280,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party0,Enabled,100,22280,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party0,StrongCausal,66,22280,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",party0,MildNon,82,22280,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant0,StrongCausal,100,31268,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant0,StrongNon,100,31268,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant0,reference,100,31268,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant0,Enabled,100,31268,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant0,MildNon,100,31268,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant0,MildCausal,100,31268,
